"A" "B" "C"
"1" "yes" "yes" "no"
"2" "no" "no" "yes"
"3" "yes" "yes" "yes"
"4" "yes" "yes" "no"
"5" "yes" "no" "no"
"6" "yes" "yes" "no"
"7" "yes" "yes" "no"
"8" "yes" "no" "no"
"9" "no" "no" "yes"
"10" "yes" "yes" "no"
"11" "yes" "yes" "no"
"12" "yes" "no" "no"
"13" "no" "no" "no"
"14" "no" "no" "yes"
"15" "yes" "yes" "no"
"16" "no" "no" "yes"
"17" "yes" "yes" "no"
"18" "no" "no" "no"
"19" "no" "yes" "yes"
"20" "yes" "yes" "no"
"21" "no" "yes" "yes"
"22" "no" "no" "yes"
"23" "no" "no" "yes"
"24" "yes" "no" "no"
"25" "no" "no" "yes"
"26" "no" "yes" "no"
"27" "yes" "no" "no"
"28" "yes" "yes" "no"
"29" "no" "no" "no"
"30" "no" "no" "no"
"31" "yes" "yes" "yes"
"32" "no" "no" "no"
"33" "no" "no" "yes"
"34" "yes" "no" "no"
"35" "no" "no" "no"
"36" "yes" "yes" "no"
"37" "yes" "yes" "no"
"38" "no" "yes" "yes"
"39" "no" "no" "yes"
"40" "no" "no" "yes"
"41" "yes" "yes" "no"
"42" "yes" "yes" "no"
"43" "yes" "no" "no"
"44" "yes" "no" "no"
"45" "no" "yes" "yes"
"46" "no" "no" "no"
"47" "yes" "no" "yes"
"48" "no" "no" "yes"
"49" "no" "no" "yes"
"50" "yes" "yes" "yes"
"51" "no" "no" "yes"
"52" "yes" "yes" "no"
"53" "no" "no" "yes"
"54" "yes" "no" "no"
"55" "yes" "yes" "no"
"56" "yes" "yes" "no"
"57" "yes" "yes" "no"
"58" "yes" "no" "no"
"59" "no" "no" "no"
"60" "yes" "yes" "no"
"61" "yes" "yes" "yes"
"62" "no" "yes" "yes"
"63" "yes" "no" "no"
"64" "no" "no" "yes"
"65" "no" "no" "no"
"66" "yes" "no" "no"
"67" "no" "no" "yes"
"68" "yes" "no" "no"
"69" "no" "no" "yes"
"70" "no" "no" "yes"
"71" "no" "no" "no"
"72" "no" "no" "yes"
"73" "no" "no" "no"
"74" "no" "no" "yes"
"75" "yes" "no" "no"
"76" "no" "no" "no"
"77" "yes" "no" "no"
"78" "no" "no" "no"
"79" "yes" "yes" "no"
"80" "yes" "yes" "yes"
"81" "yes" "yes" "no"
"82" "yes" "no" "no"
"83" "yes" "no" "yes"
"84" "no" "no" "no"
"85" "no" "no" "no"
"86" "yes" "yes" "no"
"87" "yes" "yes" "no"
"88" "yes" "no" "no"
"89" "yes" "yes" "no"
"90" "no" "yes" "yes"
"91" "no" "no" "yes"
"92" "no" "no" "no"
"93" "no" "no" "yes"
"94" "no" "no" "yes"
"95" "yes" "no" "no"
"96" "no" "no" "yes"
"97" "yes" "no" "no"
"98" "yes" "yes" "no"
"99" "yes" "no" "no"
"100" "no" "no" "yes"
"101" "no" "no" "yes"
"102" "no" "no" "no"
"103" "yes" "yes" "no"
"104" "no" "no" "yes"
"105" "no" "no" "yes"
"106" "no" "no" "no"
"107" "no" "no" "yes"
"108" "no" "no" "no"
"109" "no" "no" "yes"
"110" "no" "no" "yes"
"111" "yes" "no" "no"
"112" "no" "no" "no"
"113" "no" "no" "yes"
"114" "no" "no" "yes"
"115" "no" "no" "no"
"116" "yes" "yes" "no"
"117" "yes" "yes" "yes"
"118" "yes" "yes" "no"
"119" "yes" "yes" "yes"
"120" "yes" "yes" "no"
"121" "no" "no" "no"
"122" "no" "no" "no"
"123" "yes" "yes" "no"
"124" "yes" "no" "no"
"125" "no" "no" "no"
"126" "no" "no" "no"
"127" "yes" "no" "no"
"128" "yes" "yes" "no"
"129" "yes" "no" "no"
"130" "yes" "yes" "no"
"131" "yes" "no" "no"
"132" "yes" "no" "no"
"133" "yes" "yes" "no"
"134" "no" "no" "no"
"135" "no" "no" "yes"
"136" "yes" "yes" "no"
"137" "yes" "yes" "no"
"138" "no" "no" "yes"
"139" "no" "no" "yes"
"140" "no" "no" "no"
"141" "yes" "no" "yes"
"142" "no" "no" "yes"
"143" "yes" "yes" "no"
"144" "yes" "no" "yes"
"145" "yes" "yes" "no"
"146" "no" "no" "yes"
"147" "yes" "yes" "no"
"148" "yes" "yes" "no"
"149" "no" "yes" "yes"
"150" "yes" "no" "no"
"151" "yes" "yes" "no"
"152" "yes" "yes" "no"
"153" "no" "no" "yes"
"154" "yes" "yes" "no"
"155" "no" "no" "no"
"156" "yes" "yes" "no"
"157" "no" "no" "yes"
"158" "no" "no" "no"
"159" "yes" "no" "no"
"160" "no" "no" "no"
"161" "no" "no" "no"
"162" "yes" "no" "no"
"163" "yes" "no" "no"
"164" "no" "no" "yes"
"165" "yes" "no" "yes"
"166" "yes" "yes" "no"
"167" "no" "no" "yes"
"168" "no" "no" "no"
"169" "yes" "no" "no"
"170" "no" "no" "yes"
"171" "yes" "yes" "no"
"172" "no" "no" "no"
"173" "yes" "yes" "yes"
"174" "yes" "yes" "no"
"175" "no" "no" "no"
"176" "no" "no" "no"
"177" "yes" "no" "no"
"178" "no" "no" "yes"
"179" "yes" "yes" "yes"
"180" "no" "yes" "yes"
"181" "yes" "yes" "no"
"182" "yes" "yes" "no"
"183" "no" "no" "no"
"184" "no" "no" "yes"
"185" "yes" "yes" "yes"
"186" "no" "yes" "yes"
"187" "yes" "no" "no"
"188" "yes" "yes" "yes"
"189" "yes" "yes" "no"
"190" "yes" "yes" "no"
"191" "yes" "no" "no"
"192" "yes" "yes" "no"
"193" "yes" "yes" "no"
"194" "no" "no" "yes"
"195" "no" "no" "yes"
"196" "yes" "yes" "yes"
"197" "no" "no" "no"
"198" "no" "no" "no"
"199" "yes" "yes" "no"
"200" "yes" "no" "no"
"201" "yes" "yes" "no"
"202" "no" "no" "yes"
"203" "no" "no" "yes"
"204" "no" "no" "no"
"205" "yes" "yes" "no"
"206" "yes" "no" "no"
"207" "yes" "no" "yes"
"208" "yes" "no" "no"
"209" "yes" "no" "no"
"210" "no" "no" "yes"
"211" "yes" "yes" "no"
"212" "yes" "yes" "no"
"213" "no" "no" "yes"
"214" "yes" "no" "no"
"215" "yes" "yes" "no"
"216" "yes" "no" "no"
"217" "yes" "yes" "no"
"218" "no" "no" "no"
"219" "yes" "yes" "no"
"220" "no" "no" "no"
"221" "yes" "yes" "yes"
"222" "no" "yes" "no"
"223" "yes" "no" "no"
"224" "yes" "no" "yes"
"225" "yes" "yes" "no"
"226" "no" "no" "no"
"227" "yes" "yes" "no"
"228" "yes" "no" "yes"
"229" "yes" "no" "no"
"230" "yes" "yes" "no"
"231" "yes" "yes" "no"
"232" "yes" "yes" "yes"
"233" "no" "no" "no"
"234" "no" "no" "yes"
"235" "yes" "no" "no"
"236" "yes" "no" "no"
"237" "yes" "no" "no"
"238" "yes" "yes" "no"
"239" "yes" "no" "no"
"240" "yes" "yes" "no"
"241" "yes" "yes" "no"
"242" "yes" "no" "no"
"243" "no" "no" "yes"
"244" "yes" "yes" "yes"
"245" "yes" "yes" "yes"
"246" "yes" "yes" "no"
"247" "yes" "no" "yes"
"248" "no" "no" "yes"
"249" "no" "yes" "yes"
"250" "no" "no" "yes"
"251" "yes" "yes" "no"
"252" "no" "yes" "yes"
"253" "no" "no" "yes"
"254" "yes" "no" "no"
"255" "no" "no" "yes"
"256" "no" "no" "yes"
"257" "yes" "no" "no"
"258" "no" "no" "yes"
"259" "yes" "no" "no"
"260" "no" "no" "yes"
"261" "yes" "no" "no"
"262" "no" "no" "no"
"263" "yes" "no" "no"
"264" "yes" "yes" "no"
"265" "yes" "no" "no"
"266" "no" "no" "yes"
"267" "no" "no" "no"
"268" "yes" "yes" "no"
"269" "yes" "no" "no"
"270" "no" "yes" "yes"
"271" "yes" "no" "no"
"272" "no" "no" "no"
"273" "yes" "yes" "no"
"274" "no" "no" "no"
"275" "yes" "no" "no"
"276" "yes" "yes" "no"
"277" "no" "no" "yes"
"278" "yes" "yes" "no"
"279" "no" "no" "yes"
"280" "no" "yes" "yes"
"281" "yes" "no" "no"
"282" "no" "no" "yes"
"283" "yes" "no" "no"
"284" "no" "no" "yes"
"285" "yes" "no" "no"
"286" "yes" "yes" "no"
"287" "yes" "yes" "yes"
"288" "no" "no" "yes"
"289" "no" "no" "yes"
"290" "no" "no" "no"
"291" "no" "no" "yes"
"292" "yes" "yes" "no"
"293" "no" "yes" "yes"
"294" "no" "no" "yes"
"295" "yes" "yes" "no"
"296" "no" "no" "yes"
"297" "no" "no" "yes"
"298" "yes" "no" "no"
"299" "no" "no" "yes"
"300" "yes" "no" "no"
"301" "yes" "yes" "no"
"302" "no" "no" "yes"
"303" "no" "no" "yes"
"304" "no" "no" "yes"
"305" "yes" "yes" "no"
"306" "yes" "yes" "no"
"307" "yes" "no" "yes"
"308" "yes" "yes" "no"
"309" "yes" "no" "no"
"310" "yes" "no" "no"
"311" "yes" "no" "no"
"312" "no" "no" "yes"
"313" "yes" "yes" "no"
"314" "yes" "yes" "yes"
"315" "no" "no" "yes"
"316" "yes" "no" "no"
"317" "yes" "yes" "no"
"318" "no" "no" "yes"
"319" "yes" "no" "no"
"320" "yes" "yes" "no"
"321" "no" "no" "yes"
"322" "no" "no" "yes"
"323" "no" "no" "yes"
"324" "no" "no" "no"
"325" "yes" "no" "no"
"326" "yes" "yes" "no"
"327" "yes" "no" "no"
"328" "yes" "yes" "no"
"329" "no" "no" "yes"
"330" "yes" "no" "yes"
"331" "no" "no" "yes"
"332" "yes" "no" "no"
"333" "no" "no" "yes"
"334" "no" "no" "yes"
"335" "yes" "no" "no"
"336" "yes" "yes" "yes"
"337" "yes" "yes" "yes"
