CS101	CS102	CS103	CS104	EL102	MA102	QP
BC	BC	AB	BB	BB	CC	y
BC	BB	AA	BC	BB	BB	y
CC	BB	AA	CC	BC	BB	y
CD	BB	CD	CD	DD	CC	n
CC	BB	BC	BB	CC	BC	y
DD	DD	CC	CD	F	DD	n
AB	BB	AA	AB	BC	BC	y
CC	BB	BB	AB	BB	AB	y
CC	BC	BB	CC	CD	CD	y
CD	DD	BC	CD	CD	DD	n
CD	AA	CC	BB	AB	AB	y
BB	BC	AB	AB	BB	AA	y
F	F	F	F	F	F	n
BB	AA	BB	BB	AA	AB	y
CC	DD	BC	CC	CC	BC	y
CC	BB	AB	BC	BC	CC	y
BC	BC	BB	BB	BB	BC	y
AA	AA	BB	AA	AA	AA	y
BC	BC	AB	BC	BB	BC	y
CC	BC	CC	CC	CC	BC	y
AB	BC	AB	BC	BC	AB	y
BB	BB	AA	AB	BC	BB	y
CC	BC	BC	BB	BC	AA	y
BB	BC	AB	BB	BC	AA	y
F	F	F	F	F	F	n	
DD	BB	CC	BC	CC	CD	n
BB	AA	AB	AB	BC	AB	y
CC	CC	CC	CC	CC	DE	n
CC	AB	AB	AB	AB	AA	y
DD	CC	CD	CC	CC	DE	n
BB	AA	BB	AA	AA	AB	y
BB	BB	AA	AB	AB	BC	y
AB	AB	AB	AB	BC	BB	y
BC	BB	AA	BB	CC	BC	y
BB	BB	BB	BB	CC	BC	y
BC	BC	BC	BB	CC	BC	y
BB	CC	BB	CC	BC	CC	y
CC	BC	BC	BC	F	DD	n
CC	CC	AA	CC	CC	BB	y
CD	CC	BC	CD	F	CD	n
AB	BB	AA	AB	AB	BB	y
DD	CC	BC	BC	F	DD	
BC	CD	BC	CC	CC	AB
CD	BB	BC	BC	BB	BB
BC	BB	BC	BC	CC	BC
CC	DD	BC	BC	CC	CC
BB	BC	BB	BB	BC	BC
CD	CD	CC	CC	DD	CD
AB	AA	AB	AA	AA	BB
BB	BC	BB	BB	CC	CC
CC	BC	AB	BC	CC	CD
CD	BC	BC	BC	CC	CC
BB	BB	BB	AA	AA	AA
BC	BC	AB	AB	CC	BB
CD	BC	BC	BC	CD	CC
CC	CC	CC	BB	CD	DE
CC	BC	BC	BB	F	BC
CC	BB	BB	AB	AB	AB
DD	BB	CC	BC	F	DD
CC	AB	BC	AA	BB	AB
CC	CC	BC	BB	CC	CC
CD	AA	CC	BB	CC	BC
DD	CC	CD	BC	F	DD
CC	BC	BB	BB	BB	BC
BC	AA	AB	AB	AA	AB
AB	AB	AB	AA	AA	AB
BC	BC	AB	BC	CC	BB
BC	BB	AA	AB	BC	BB
CC	BB	CC	AB	AB	CC
BB	BB	BB	AA	CC	BC
CD	BC	CC	BC	BC	CC
BC	AB	BB	AB	BB	AA
BB	BB	BB	AB	BC	AB
DE	F	CC	CC	F	F
BC	BB	AB	AB	CC	BC
BC	BB	AA	AB	BB	BB
CC	BB	BC	BB	BC	BC
AA	AB	AA	AA	AA	AA
CC	CC	CC	BC	CD	CD
CD	CC	BB	BC	DD	DD
DE	F	F	DD	F	DE
CD	DD	BC	BC	CD	CC
AB	BC	AA	BB	BB	BB
DD	CC	CC	BC	CC	BC
CD	CC	CC	AA	CD	CD
CC	DD	CC	CC	DD	CD
BC	CC	BC	BB	BC	BC
DD	CD	CC	BB	DD	BB
AB	AB	AB	AB	BC	BB
CC	BB	AB	BB	BC	CC
DE	F	DD	DD	F	DE
CC	BB	BC	BB	CC	BC
BC	BB	BB	AB	CC	CC
BC	AA	BC	AB	BB	AB
CD	BB	CC	BC	CC	CD
BC	AB	BB	AA	CC	CD

